,tanggal,akumulasi_aktif,akumulasi_sembuh,akumulasi_meninggal
182,2020-09-16,2967,32592,3243
183,2020-09-17,2928,32925,3272
184,2020-09-18,2855,33463,3295
185,2020-09-19,2822,33816,3326
186,2020-09-20,2830,34137,3347
187,2020-09-21,2864,34423,3363
188,2020-09-22,2799,34802,3385
189,2020-09-23,2783,35137,3408
190,2020-09-24,2755,35500,3432
191,2020-09-25,2643,35874,3454
192,2020-09-26,2551,36218,3471
193,2020-09-27,2269,36678,3490
194,2020-09-28,2076,37129,3512
195,2020-09-29,2006,37450,3536
196,2020-09-30,1921,38015,3587
197,2020-10-01,2128,38387,3609
198,2020-10-02,2012,38750,3631
199,2020-10-03,1973,39093,3646
200,2020-10-04,1862,39424,3664
201,2020-10-05,1809,39714,3672
202,2020-10-06,1828,39961,3681
203,2020-10-07,1832,40260,3704
204,2020-10-08,1826,40589,3724
205,2020-10-09,1726,40967,3749
206,2020-10-10,1645,41338,3769
207,2020-10-11,1574,41655,3784
208,2020-10-12,1535,41972,3803
209,2020-10-13,1478,42337,3825
210,2020-10-14,1411,42683,3846
211,2020-10-15,1313,43055,3866
212,2020-10-16,1176,43457,3887
213,2020-10-17,1022,43839,3909
214,2020-10-18,919,44157,3930
215,2020-10-19,779,44508,3951
216,2020-10-20,723,44847,3963
217,2020-10-21,696,45189,3980
218,2020-10-22,566,45569,4002
219,2020-10-23,449,45946,4024
220,2020-10-24,374,46295,4042
221,2020-10-25,333,46564,4060
222,2020-10-26,323,46849,4073
223,2020-10-27,328,47119,4084
224,2020-10-28,285,47379,4099
225,2020-10-29,230,47661,4114
226,2020-10-30,-140,48203,4160
227,2020-10-31,-214,48480,4182
228,2020-11-01,45,48825,4205
229,2020-11-02,26,49116,4217
230,2020-11-03,-17,49396,4241
231,2020-11-04,-81,49676,4256
232,2020-11-05,-94,49950,4265
233,2020-11-06,-153,50258,4278
234,2020-11-07,-191,50540,4303
235,2020-11-08,-208,50815,4324
236,2020-11-09,-271,51093,4352
237,2020-11-10,-304,51404,4377
238,2020-11-11,-412,51676,4398
239,2020-11-12,-442,51915,4422
240,2020-11-13,-530,52206,4443
241,2020-11-14,-614,52509,4464
242,2020-11-15,-713,52787,4474
243,2020-11-16,-739,53046,4504
244,2020-11-17,-699,53294,4533
245,2020-11-18,-628,53577,4551
246,2020-11-19,-501,53825,4584
247,2020-11-20,-471,54130,4610
248,2020-11-21,-405,54395,4633
249,2020-11-22,-434,54671,4660
250,2020-11-23,-390,54939,4689
251,2020-11-24,-347,55198,4718
252,2020-11-25,-288,55482,4753
253,2020-11-26,-244,55765,4787
254,2020-11-27,-250,56103,4830
255,2020-11-28,-234,56497,4862
256,2020-11-29,-140,56764,4894
257,2020-11-30,-520,57439,4988
258,2020-12-01,-534,57842,5018
259,2020-12-02,-411,58159,5041
260,2020-12-03,-287,58531,5077
261,2020-12-04,-82,58895,5094
262,2020-12-05,36,59290,5121
263,2020-12-06,189,59642,5152
264,2020-12-07,334,60039,5182
265,2020-12-08,320,60580,5227
266,2020-12-09,417,61107,5273
267,2020-12-10,501,61718,5304
268,2020-12-11,837,62162,5336
269,2020-12-12,1102,62613,5385
270,2020-12-13,1218,63176,5415
271,2020-12-14,1399,63677,5437
272,2020-12-15,1311,64423,5484
273,2020-12-16,1528,64886,5528
274,2020-12-17,1712,65498,5564
275,2020-12-18,1898,66095,5611
276,2020-12-19,2066,66613,5661
277,2020-12-20,1939,67338,5706
278,2020-12-21,2107,67938,5741
279,2020-12-22,2148,68555,5788
280,2020-12-23,2268,69203,5832
281,2020-12-24,2276,69871,5887
282,2020-12-25,2440,70385,5943
283,2020-12-26,2524,71032,5991
284,2020-12-27,2616,71575,6031
285,2020-12-28,2765,72177,6093
286,2020-12-29,2814,72838,6149
287,2020-12-30,2969,73582,6207
288,2020-12-31,3193,74839,6370
